team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,league
Carrarese,33,26.7,49.1,38,418,"3,420",38.0,39,32,71,36,3,4,90,5,40.1,37.1,30.4,67.5,572,1086,1.03,0.84,1.87,0.95,1.79,1.06,0.80,1.86,0.98,1.78,Serie B
Catanzaro,28,28.8,55.1,38,418,"3,420",38.0,50,39,89,48,2,4,79,4,39.8,36.6,30.0,66.6,522,1337,1.32,1.03,2.34,1.26,2.29,1.05,0.79,1.84,0.96,1.75,Serie B
Cesena,27,26.8,48.7,38,418,"3,420",38.0,44,29,73,38,6,7,101,5,43.1,37.5,28.8,66.4,526,1182,1.16,0.76,1.92,1.00,1.76,1.13,0.76,1.89,0.99,1.75,Serie B
Cittadella,33,27.7,45.2,38,418,"3,420",38.0,30,20,50,29,1,1,111,2,31.2,30.6,22.2,52.8,505,1302,0.79,0.53,1.32,0.76,1.29,0.82,0.59,1.41,0.81,1.39,Serie B
Cosenza,31,26.6,48.9,38,418,"3,420",38.0,32,21,53,29,3,4,115,10,45.7,42.6,32.5,75.1,546,1245,0.84,0.55,1.39,0.76,1.32,1.20,0.86,2.06,1.12,1.98,Serie B
Cremonese,29,28.9,59.2,38,418,"3,420",38.0,62,50,112,60,2,2,102,4,59.2,57.7,46.1,103.7,751,1663,1.63,1.32,2.95,1.58,2.89,1.56,1.21,2.77,1.52,2.73,Serie B
Frosinone,38,24.6,46.9,38,418,"3,420",38.0,35,24,59,32,3,5,85,6,43.2,39.2,28.9,68.1,588,1228,0.92,0.63,1.55,0.84,1.47,1.14,0.76,1.90,1.03,1.79,Serie B
Juve Stabia,29,25.2,52.5,38,418,"3,420",38.0,40,32,72,38,2,2,96,5,40.5,39.0,31.0,69.9,478,1114,1.05,0.84,1.89,1.00,1.84,1.06,0.81,1.88,1.03,1.84,Serie B
Mantova,26,28.2,61.5,38,418,"3,420",38.0,46,36,82,44,2,4,88,4,41.5,38.3,28.4,66.7,528,1314,1.21,0.95,2.16,1.16,2.11,1.09,0.75,1.84,1.01,1.75,Serie B
Modena,30,27.2,48.7,38,418,"3,420",38.0,46,31,77,40,6,6,94,8,42.8,38.3,29.4,67.6,556,1374,1.21,0.82,2.03,1.05,1.87,1.13,0.77,1.90,1.01,1.78,Serie B
Palermo,29,27.3,49.4,38,418,"3,420",38.0,49,33,82,44,5,7,85,1,56.7,51.2,40.2,91.3,634,1330,1.29,0.87,2.16,1.16,2.03,1.49,1.06,2.55,1.35,2.40,Serie B
Pisa,33,26.6,46.2,38,418,"3,420",38.0,58,33,91,54,4,5,76,3,55.7,51.8,36.7,88.4,487,1265,1.53,0.87,2.39,1.42,2.29,1.47,0.96,2.43,1.36,2.33,Serie B
Reggiana,30,27.1,44.8,38,418,"3,420",38.0,41,22,63,39,2,2,110,4,40.8,39.3,25.8,65.0,598,1066,1.08,0.58,1.66,1.03,1.61,1.07,0.68,1.75,1.03,1.71,Serie B
Salernitana,42,27.4,51.3,38,418,"3,420",38.0,36,17,53,32,4,6,86,5,41.9,37.3,27.8,65.1,640,1379,0.95,0.45,1.39,0.84,1.29,1.10,0.73,1.84,0.98,1.71,Serie B
Sampdoria,38,27.9,48.2,38,418,"3,420",38.0,37,21,58,35,2,3,107,8,44.7,42.4,31.3,73.7,495,1231,0.97,0.55,1.53,0.92,1.47,1.18,0.82,2.00,1.12,1.94,Serie B
Sassuolo,34,26.2,52.2,38,418,"3,420",38.0,77,55,132,70,7,8,71,2,54.5,48.3,37.9,86.2,653,1471,2.03,1.45,3.47,1.84,3.29,1.43,1.00,2.43,1.27,2.27,Serie B
Spezia,28,26.9,50.9,38,418,"3,420",38.0,56,34,90,51,5,8,99,5,65.4,59.0,43.8,102.7,611,1449,1.47,0.89,2.37,1.34,2.24,1.72,1.15,2.87,1.55,2.70,Serie B
Südtirol,32,28.8,43.9,38,418,"3,420",38.0,48,32,80,42,6,6,93,3,43.3,39.4,28.7,68.1,452,1227,1.26,0.84,2.11,1.11,1.95,1.14,0.76,1.90,1.04,1.79,Serie B
